name,title,date,time,shutter speed,aperature,iso
slenderman in motion,IMG_3826-Edit-Edit-2.jpg,1/26/15,10:24 PM,30.0,8,100 
voyage,IMG_3158-Edit-2.jpg,1/6/15,6:36 PM,1/100,5.6,400
ALWAYS FLY WITH A CAMERA,IMG_2231-Edit-Edit.jpg,8/21/14,8:50 AM,1/250,20,100
ALWAYS FLY WITH A CAMERA II,IMG_2802.jpg,12/18/14,3:26 PM,1/250,14,100
unedited,IMG_4339.jpg,4/19/15,7:01 AM,1/320,13,100
edited,IMG_2675-Edit.jpg,11/6/14,9:54 PM,1/60,13,100
enchanted,IMG_4959-Edit.jpg,4/25/15,7:44 AM,2.5,14,100
pacifica CA,IMG_1900.jpg,1/8/15,5:31 PM,1/20,22,100
pacifica CA II,IMG_2112-Edit.jpg,8/11/14,8:07 PM,1/2,22,100
pacifica CA III,IMG_3682-Edit-2.jpg,1/14/15,6:52 PM,30,14,100
pacifica CA IV,IMG_3376-Edit.jpg,1/8/15,5:53 PM,1/100,11,200
pacifica CA V,IMG_3802-Edit-2.jpg,1/16/15,6:53 PM,1.3,11,200
portlandia,IMG_4676-Edit.jpg,4/22/15,7:12 AM,1/4,16,100
portlandia II,IMG_4513-Edit.jpg,4/22/15,6:44 AM,1/15,13,100
portlandia III,IMG_4688-Edit.jpg,4/25/15,6:46 AM,0.3,14,100
portlandia IV,IMG_2600-Edit-2.jpg,10/26/14,12:29 PM,1/80,11,100
pelican rock,IMG_3136-Edit-Edit.jpg,1/6/15,5:51 PM,1/640,5.6,100
rwb,IMG_3668.jpg,1/14/15,6:31 PM,1/2,22,100
marsssh,IMG_3591-Edit-Edit.jpg,1/9/15,6:14 PM,1/8,22,100
pier beauty,IMG_2123-Edit-2.jpg,8/11/14,8:25 PM,1.3,22,100
rock,IMG_2726.jpg,2/25/17,6:57 PM,1/5,22,100
planet granite,IMG_0237-Edit-2-Edit-3.jpg,7/17/15,8:35 PM,0.8,22,100
manor house,IMG_2450-Edit.jpg,9/7/14,3:55 AM,30,8,100
corbett house,10/8/14,2:04 AM,13,7.1,400
zombie tree,11/30/14,6:07 PM,1/4,16,100
golden gate,IMG_3043-Edit-2-Edit.jpg,1/3/15,6:57 PM,30,10,400
the sculptor,IMG_0905.jpg,8/5/14,2:31 PM,1/80,5.6,400
nightfisher,IMG_2131-Edit.jpg,8/11/14,8:33 PM,1/13,4.5,400
flower,IMG_0885.jpg,6/7/16,6:02 PM,1/160,5.6,100
swirl,IMG_3610-Edit-2.jpg,1/9/15,7:20 PM,13,3.5,1600
yellow,IMG_2770.jpg,3/2/17,3:52 PM,1/50,5.6,400
all we need,IMG_0838.jpg,5/31/16,1:55 AM,1/8,8,100
cards,IMG_0773.jpg,6/3/14,2:08 PM,1/20,1.8,100
spoon,IMG_0689.jpg,6/1/14,9:00 PM,1/13,2.5,100
avery,IMG_0546.jpg,4/29/14,11:35 AM,1/250,5.6,100
lens,IMG_0828.jpg,6/3/14,3:07 PM,1/200,1.8,100